ID Estudo;Nome Projeto;Número Documento;Quantidade de Alternativas
37;FIBRASA;1005/25;3
38;CONSÓRCIO SOLAR FLUTUANTE VALE DO PARAÍBA;1006/25;3
39;UTE SERRA;1007/25;2
40;UTE CARIACICA;1008/25;2
42;UTE MARCA III;1010/25;2
43;PTCFV 1271 - SAIS BRASIL;1011/25;2
48;ADUFERTIL FERTILIZANTES LTDA;1016/25;2
51;SANTA MARIA ENERGETICA S/A;1019/25;2
52;SUZANO SA;1020/25;1
44;ARCELORMITTAL BRASIL S A;1012/25;1
59;FRIGORIFICO FRILARA;1025/25;1
54;JBA 03;1022/25;1
55;VICENTHE ANDRE ANTONIO PAULO DE ANDRADE N B MORAES DA SILVA;1023/25;0
56;Projeto Athenas;1024/25;0
60;PEMAGRAN MINERACAO S.A.;1026/25;0
66;SECTI;1027/25;0
67;RV FASE III EMPREENDIMENTO IMOBILIARIO SPE LTDA;1028/25;0
70;4001880040 - Alteração de Demanda - IMPERIO EXTRUSAO DE ALUMINIO LTDA;1029/25;0
71;Anteprojeto - RDA GER 1303;1030/25;0
72;Anteprojeto RDA JNO 1302;1031/25;0
73;MINERACAO NEMER LTDA;1032/25;0
74;4001880928 - Alteração de Demanda - TRUCKVAN INDUSTRIA E COMERCIO LTDA;1033/25;0
45;CONSORCIO SANTA LUCIA SOLAR;1013/25;0
46;CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS;1014/25;0
47;NAVEGANTES LOGISTICA PORTUARIA S.A.;1015/25;0
53;VILA POUSO ALTO;1021/25;0
49;BRUMAGRAN PEDRAS ORNAMENTAIS LTDA;1017/25;0
50;Renovação Contratual de Reserva de Capacidade;1018/25;0
41;Decréscimo de demanda contratada;1009/25;0
1;Registro inicial 2025;1000/25;0
33;JOAO ARLINDO PEREIRA RAIMUNDO;1001/25;0
34;COOPERATIVA DE ENERGIA RENOVAVEL BR;1002/25;0
35;CONSORCIO SINERGIA AMBIENTAL;1003/25;0
36;SEST;1004/25;0
